iter,noise,n_samples,model,r2
0,0.0,10,CPF,0.18219474502513056
0,0.0,10,RF,0.07957988973928132
0,0.0,10,LR,0.44533269207081105
0,0.0,10,LR,0.44533269207081105
0,0.0,210,CPF,0.8191979962756636
0,0.0,210,RF,0.5783029289210828
0,0.0,210,LR,1.0
0,0.0,210,LR,1.0
0,0.0,410,CPF,0.9159524389140716
0,0.0,410,RF,0.627454189115324
0,0.0,410,LR,1.0
0,0.0,410,LR,1.0
0,0.0,610,CPF,0.9599719125588974
0,0.0,610,RF,0.6541213957162718
0,0.0,610,LR,1.0
0,0.0,610,LR,1.0
0,0.0,810,CPF,0.9690938515176237
0,0.0,810,RF,0.6849102133490496
0,0.0,810,LR,1.0
0,0.0,810,LR,1.0
0,0.0,1010,CPF,0.9765133407690095
0,0.0,1010,RF,0.6946431914796916
0,0.0,1010,LR,1.0
0,0.0,1010,LR,1.0
0,0.0,1210,CPF,0.9835106052483783
0,0.0,1210,RF,0.708543884696583
0,0.0,1210,LR,1.0
0,0.0,1210,LR,1.0
0,0.0,1410,CPF,0.9866028376560256
0,0.0,1410,RF,0.7167271288520903
0,0.0,1410,LR,1.0
0,0.0,1410,LR,1.0
0,0.0,1610,CPF,0.9891306062268078
0,0.0,1610,RF,0.7263149116118819
0,0.0,1610,LR,1.0
0,0.0,1610,LR,1.0
0,0.0,1810,CPF,0.9906256545683606
0,0.0,1810,RF,0.734447776996725
0,0.0,1810,LR,1.0
0,0.0,1810,LR,1.0
0,0.0,2010,CPF,0.9938438360613692
0,0.0,2010,RF,0.7396781469784519
0,0.0,2010,LR,1.0
0,0.0,2010,LR,1.0
0,0.0,2210,CPF,0.9942345651498109
0,0.0,2210,RF,0.7460770895637705
0,0.0,2210,LR,1.0
0,0.0,2210,LR,1.0
0,0.0,2410,CPF,0.9947432488748603
0,0.0,2410,RF,0.7520908458531941
0,0.0,2410,LR,1.0
0,0.0,2410,LR,1.0
0,0.0,2610,CPF,0.9956301072560406
0,0.0,2610,RF,0.7589713374851645
0,0.0,2610,LR,1.0
0,0.0,2610,LR,1.0
0,0.0,2810,CPF,0.9958330700231911
0,0.0,2810,RF,0.7622092448640245
0,0.0,2810,LR,1.0
0,0.0,2810,LR,1.0
0,0.0,3010,CPF,0.9964553011785635
0,0.0,3010,RF,0.7671328796412276
0,0.0,3010,LR,1.0
0,0.0,3010,LR,1.0
0,0.0,3210,CPF,0.9966142845070349
0,0.0,3210,RF,0.7713680217408853
0,0.0,3210,LR,1.0
0,0.0,3210,LR,1.0
0,0.0,3410,CPF,0.9974322578597559
0,0.0,3410,RF,0.7715150752308407
0,0.0,3410,LR,1.0
0,0.0,3410,LR,1.0
0,0.0,3610,CPF,0.9969549088589577
0,0.0,3610,RF,0.7690246455662846
0,0.0,3610,LR,1.0
0,0.0,3610,LR,1.0
0,0.0,3810,CPF,0.9970776591211391
0,0.0,3810,RF,0.773820389921329
0,0.0,3810,LR,1.0
0,0.0,3810,LR,1.0
0,0.0,4010,CPF,0.997220431778596
0,0.0,4010,RF,0.776494029213418
0,0.0,4010,LR,1.0
0,0.0,4010,LR,1.0
0,0.0,4210,CPF,0.9975375446078173
0,0.0,4210,RF,0.7771521970837182
0,0.0,4210,LR,1.0
0,0.0,4210,LR,1.0
0,0.0,4410,CPF,0.9975430832513056
0,0.0,4410,RF,0.7823395824309656
0,0.0,4410,LR,1.0
0,0.0,4410,LR,1.0
0,0.0,4610,CPF,0.9972385523708683
0,0.0,4610,RF,0.7777797780917455
0,0.0,4610,LR,1.0
0,0.0,4610,LR,1.0
0,0.0,4810,CPF,0.9970565112426678
0,0.0,4810,RF,0.7820287041912766
0,0.0,4810,LR,1.0
0,0.0,4810,LR,1.0
0,0.0,5010,CPF,0.9976705471836548
0,0.0,5010,RF,0.7858599668733814
0,0.0,5010,LR,1.0
0,0.0,5010,LR,1.0
0,0.0,5210,CPF,0.9979754467265771
0,0.0,5210,RF,0.789005753060976
0,0.0,5210,LR,1.0
0,0.0,5210,LR,1.0
0,0.0,5410,CPF,0.9983215877879725
0,0.0,5410,RF,0.7902786334335158
0,0.0,5410,LR,1.0
0,0.0,5410,LR,1.0
0,0.0,5610,CPF,0.9982966486463383
0,0.0,5610,RF,0.7895488388072379
0,0.0,5610,LR,1.0
0,0.0,5610,LR,1.0
0,0.0,5810,CPF,0.998699057267424
0,0.0,5810,RF,0.7919770922657128
0,0.0,5810,LR,1.0
0,0.0,5810,LR,1.0
0,0.0,6010,CPF,0.998751139997903
0,0.0,6010,RF,0.7939903072937813
0,0.0,6010,LR,1.0
0,0.0,6010,LR,1.0
0,0.1,10,CPF,0.21098298467297194
0,0.1,10,RF,-0.061030188557518184
0,0.1,10,LR,0.3977455623369952
0,0.1,10,LR,0.3977455623369952
0,0.1,210,CPF,0.798284417027254
0,0.1,210,RF,0.5728747502850258
0,0.1,210,LR,0.997500632766334
0,0.1,210,LR,0.997500632766334
0,0.1,410,CPF,0.9038499988130912
0,0.1,410,RF,0.6408855995379321
0,0.1,410,LR,0.9976466944992328
0,0.1,410,LR,0.9976466944992328
0,0.1,610,CPF,0.93056967270064
0,0.1,610,RF,0.6356585385058783
0,0.1,610,LR,0.9976394423250454
0,0.1,610,LR,0.9976394423250454
0,0.1,810,CPF,0.9648759615860047
0,0.1,810,RF,0.6600549424076947
0,0.1,810,LR,0.9977045701337962
0,0.1,810,LR,0.9977045701337962
0,0.1,1010,CPF,0.9821935774905172
0,0.1,1010,RF,0.685617706857987
0,0.1,1010,LR,0.9977084562724431
0,0.1,1010,LR,0.9977084562724431
0,0.1,1210,CPF,0.9874471295474776
0,0.1,1210,RF,0.7091466236232109
0,0.1,1210,LR,0.997719563072569
0,0.1,1210,LR,0.997719563072569
0,0.1,1410,CPF,0.9895718617210004
0,0.1,1410,RF,0.7152702719815094
0,0.1,1410,LR,0.9977274602736037
0,0.1,1410,LR,0.9977274602736037
0,0.1,1610,CPF,0.990434683608323
0,0.1,1610,RF,0.7244328823710819
0,0.1,1610,LR,0.9977285985604696
0,0.1,1610,LR,0.9977285985604696
0,0.1,1810,CPF,0.9907424765151204
0,0.1,1810,RF,0.7346229523976471
0,0.1,1810,LR,0.9977276524851102
0,0.1,1810,LR,0.9977276524851102
0,0.1,2010,CPF,0.9913280741289693
0,0.1,2010,RF,0.7408954590722934
0,0.1,2010,LR,0.997738419022603
0,0.1,2010,LR,0.997738419022603
0,0.1,2210,CPF,0.99235913543913
0,0.1,2210,RF,0.7435641888790383
0,0.1,2210,LR,0.9977410813048918
0,0.1,2210,LR,0.9977410813048918
0,0.1,2410,CPF,0.9926534819597066
0,0.1,2410,RF,0.7430756209380206
0,0.1,2410,LR,0.9977445741414732
0,0.1,2410,LR,0.9977445741414732
0,0.1,2610,CPF,0.9925172586740179
0,0.1,2610,RF,0.7486156227199035
0,0.1,2610,LR,0.9977401939158358
0,0.1,2610,LR,0.9977401939158358
0,0.1,2810,CPF,0.9932355647426594
0,0.1,2810,RF,0.7541255813377145
0,0.1,2810,LR,0.9977403764673074
0,0.1,2810,LR,0.9977403764673074
0,0.1,3010,CPF,0.9941021860579855
0,0.1,3010,RF,0.7587926330928787
0,0.1,3010,LR,0.9977472060632053
0,0.1,3010,LR,0.9977472060632053
0,0.1,3210,CPF,0.9944841901437123
0,0.1,3210,RF,0.7570700377994707
0,0.1,3210,LR,0.9977466153489072
0,0.1,3210,LR,0.9977466153489072
0,0.1,3410,CPF,0.9942411270781346
0,0.1,3410,RF,0.7603862450915196
0,0.1,3410,LR,0.9977458815576481
0,0.1,3410,LR,0.9977458815576481
0,0.1,3610,CPF,0.9955237195211084
0,0.1,3610,RF,0.7623854319833387
0,0.1,3610,LR,0.9977442905513633
0,0.1,3610,LR,0.9977442905513633
0,0.1,3810,CPF,0.995336615716569
0,0.1,3810,RF,0.7661144451918436
0,0.1,3810,LR,0.9977472590923367
0,0.1,3810,LR,0.9977472590923367
0,0.1,4010,CPF,0.9959368091500304
0,0.1,4010,RF,0.7651064133126512
0,0.1,4010,LR,0.9977463380041459
0,0.1,4010,LR,0.9977463380041459
0,0.1,4210,CPF,0.9963827844720101
0,0.1,4210,RF,0.7671553864391081
0,0.1,4210,LR,0.9977464891839879
0,0.1,4210,LR,0.9977464891839879
0,0.1,4410,CPF,0.996458093948628
0,0.1,4410,RF,0.774461020931961
0,0.1,4410,LR,0.9977482121111192
0,0.1,4410,LR,0.9977482121111192
0,0.1,4610,CPF,0.9964748617737299
0,0.1,4610,RF,0.777281379366014
0,0.1,4610,LR,0.997750670877567
0,0.1,4610,LR,0.997750670877567
0,0.1,4810,CPF,0.9964394480547316
0,0.1,4810,RF,0.7763978227630199
0,0.1,4810,LR,0.9977497898725685
0,0.1,4810,LR,0.9977497898725685
0,0.1,5010,CPF,0.9966438100159994
0,0.1,5010,RF,0.7780871900726218
0,0.1,5010,LR,0.9977480214729055
0,0.1,5010,LR,0.9977480214729055
0,0.1,5210,CPF,0.9965697105400935
0,0.1,5210,RF,0.7811281578001283
0,0.1,5210,LR,0.9977485745456559
0,0.1,5210,LR,0.9977485745456559
0,0.1,5410,CPF,0.9966118524927697
0,0.1,5410,RF,0.7816606765390042
0,0.1,5410,LR,0.9977487572190022
0,0.1,5410,LR,0.9977487572190022
0,0.1,5610,CPF,0.9967054661056929
0,0.1,5610,RF,0.7861909653068804
0,0.1,5610,LR,0.9977473148473646
0,0.1,5610,LR,0.9977473148473646
0,0.1,5810,CPF,0.996745540872667
0,0.1,5810,RF,0.7858320043078884
0,0.1,5810,LR,0.9977469066013795
0,0.1,5810,LR,0.9977469066013795
0,0.1,6010,CPF,0.9966615174616767
0,0.1,6010,RF,0.7889803261671016
0,0.1,6010,LR,0.9977473039130683
0,0.1,6010,LR,0.9977473039130683
0,0.5,10,CPF,0.19756133337273574
0,0.5,10,RF,-0.026935834411687676
0,0.5,10,LR,0.29993354767076075
0,0.5,10,LR,0.29993354767076075
0,0.5,210,CPF,0.7527963321505777
0,0.5,210,RF,0.5296299165239071
0,0.5,210,LR,0.9400155914385528
0,0.5,210,LR,0.9400155914385528
0,0.5,410,CPF,0.8522059726059906
0,0.5,410,RF,0.6141883786280453
0,0.5,410,LR,0.9435210493574122
0,0.5,410,LR,0.9435210493574122
0,0.5,610,CPF,0.8784641445144841
0,0.5,610,RF,0.6212264270728487
0,0.5,610,LR,0.9433469983522
0,0.5,610,LR,0.9433469983522
0,0.5,810,CPF,0.9046346126838138
0,0.5,810,RF,0.6465757635560612
0,0.5,810,LR,0.9449100552076302
0,0.5,810,LR,0.9449100552076302
0,0.5,1010,CPF,0.9210259517498436
0,0.5,1010,RF,0.6662302161963152
0,0.5,1010,LR,0.945003321905368
0,0.5,1010,LR,0.945003321905368
0,0.5,1210,CPF,0.9325248460078073
0,0.5,1210,RF,0.6866965504967208
0,0.5,1210,LR,0.9452698833084279
0,0.5,1210,LR,0.9452698833084279
0,0.5,1410,CPF,0.9343400831135903
0,0.5,1410,RF,0.6856949446105722
0,0.5,1410,LR,0.9454594148534415
0,0.5,1410,LR,0.9454594148534415
0,0.5,1610,CPF,0.9338208705137607
0,0.5,1610,RF,0.6978723525651529
0,0.5,1610,LR,0.9454867335537522
0,0.5,1610,LR,0.9454867335537522
0,0.5,1810,CPF,0.9355375651460428
0,0.5,1810,RF,0.7042094858464717
0,0.5,1810,LR,0.9454640278984474
0,0.5,1810,LR,0.9454640278984474
0,0.5,2010,CPF,0.9351820239415003
0,0.5,2010,RF,0.7140378060864974
0,0.5,2010,LR,0.9457224230534531
0,0.5,2010,LR,0.9457224230534531
0,0.5,2210,CPF,0.9366547634847365
0,0.5,2210,RF,0.7124534312858324
0,0.5,2210,LR,0.9457863173969353
0,0.5,2210,LR,0.9457863173969353
0,0.5,2410,CPF,0.9373244189768777
0,0.5,2410,RF,0.71827939680346
0,0.5,2410,LR,0.9458701449088436
0,0.5,2410,LR,0.9458701449088436
0,0.5,2610,CPF,0.937861071109527
0,0.5,2610,RF,0.7197234414883165
0,0.5,2610,LR,0.9457650202034021
0,0.5,2610,LR,0.9457650202034021
0,0.5,2810,CPF,0.9385595534397554
0,0.5,2810,RF,0.7215520459228364
0,0.5,2810,LR,0.9457694014091375
0,0.5,2810,LR,0.9457694014091375
0,0.5,3010,CPF,0.9396419029425064
0,0.5,3010,RF,0.7256584092632303
0,0.5,3010,LR,0.9459333106038853
0,0.5,3010,LR,0.9459333106038853
0,0.5,3210,CPF,0.9396754394219158
0,0.5,3210,RF,0.7286525781729976
0,0.5,3210,LR,0.9459191335564594
0,0.5,3210,LR,0.9459191335564594
0,0.5,3410,CPF,0.9393558245002234
0,0.5,3410,RF,0.7310256590879345
0,0.5,3410,LR,0.9459015226851596
0,0.5,3410,LR,0.9459015226851596
0,0.5,3610,CPF,0.940892460937929
0,0.5,3610,RF,0.7318205497131737
0,0.5,3610,LR,0.9458633387921628
0,0.5,3610,LR,0.9458633387921628
0,0.5,3810,CPF,0.9412403094839004
0,0.5,3810,RF,0.7335199508115575
0,0.5,3810,LR,0.9459345832944441
0,0.5,3810,LR,0.9459345832944441
0,0.5,4010,CPF,0.9422209838421733
0,0.5,4010,RF,0.7368366693117002
0,0.5,4010,LR,0.9459124773271377
0,0.5,4010,LR,0.9459124773271377
0,0.5,4210,CPF,0.9424564514422694
0,0.5,4210,RF,0.7368947813741087
0,0.5,4210,LR,0.9459161056188441
0,0.5,4210,LR,0.9459161056188441
0,0.5,4410,CPF,0.9432200410522025
0,0.5,4410,RF,0.7426818444690038
0,0.5,4410,LR,0.9459574555907784
0,0.5,4410,LR,0.9459574555907784
0,0.5,4610,CPF,0.943515445987602
