iter,noise,n_samples,model,r2
0,1.0,6510,LR,0.8233470841472532
0,1.0,7010,CPF,0.8132526309535888
0,1.0,7010,RF,0.6300237789380189
0,1.0,7010,LR,0.8233005838593932
0,1.0,7510,CPF,0.8165684877051179
0,1.0,7510,RF,0.6303782208867184
0,1.0,7510,LR,0.8235146836453243
0,1.0,8010,CPF,0.8170075188848147
0,1.0,8010,RF,0.6301248960310535
0,1.0,8010,LR,0.8234632853372627
0,10.0,10,CPF,-0.2468628467687386
0,10.0,10,RF,-0.2964975950069666
0,10.0,10,LR,-0.64434649717576
0,10.0,510,CPF,-0.005802476323793604
0,10.0,510,RF,0.007871099359295197
0,10.0,510,LR,0.023996960445239024
0,10.0,1010,CPF,0.008930943903398214
0,10.0,1010,RF,0.0029779304771991866
0,10.0,1010,LR,0.04025463253433936
0,10.0,1510,CPF,0.022899702602867333
0,10.0,1510,RF,0.017894862073337237
0,10.0,1510,LR,0.05035239326766805
0,10.0,2010,CPF,0.02896690408574587
0,10.0,2010,RF,0.022139163570725984
0,10.0,2010,LR,0.05103135662211267
0,10.0,2510,CPF,0.023084430629935815
0,10.0,2510,RF,0.027339459876174366
0,10.0,2510,LR,0.051382535602676804
0,10.0,3010,CPF,0.02255262730939034
0,10.0,3010,RF,0.0292399844619482
0,10.0,3010,LR,0.05148485088211674
0,10.0,3510,CPF,0.02045202784762623
0,10.0,3510,RF,0.02066491454395747
0,10.0,3510,LR,0.04987229193235099
0,10.0,4010,CPF,0.01729523964468971
0,10.0,4010,RF,0.028490968186346555
0,10.0,4010,LR,0.050258350683141106
0,10.0,4510,CPF,0.020966323414453036
0,10.0,4510,RF,0.021370699435915852
0,10.0,4510,LR,0.050522199062470796
0,10.0,5010,CPF,0.017402518238175513
0,10.0,5010,RF,0.023567054860870962
0,10.0,5010,LR,0.051594121548092065
0,10.0,5510,CPF,0.01690395445645765
0,10.0,5510,RF,0.03190477667170821
0,10.0,5510,LR,0.05191121042319202
0,10.0,6010,CPF,0.010535074978939352
0,10.0,6010,RF,0.022464580419262803
0,10.0,6010,LR,0.0517946381834421
0,10.0,6510,CPF,0.013068231576063738
0,10.0,6510,RF,0.025867088718870113
0,10.0,6510,LR,0.05221100134894374
0,10.0,7010,CPF,0.013671119467896009
0,10.0,7010,RF,0.027992952374988445
0,10.0,7010,LR,0.05196151516834391
0,10.0,7510,CPF,0.009589465451782853
0,10.0,7510,RF,0.03358836963940748
0,10.0,7510,LR,0.05311021639832081
0,10.0,8010,CPF,0.006844635109046537
0,10.0,8010,RF,0.024683372482737442
0,10.0,8010,LR,0.05283445106099294
1,0.0,10,CPF,0.021156546633849693
1,0.0,10,RF,0.008081435903866452
1,0.0,10,LR,0.37236520528388983
1,0.0,510,CPF,0.9174353195003423
1,0.0,510,RF,0.6087999661131356
1,0.0,510,LR,1.0
1,0.0,1010,CPF,0.9830732548895607
1,0.0,1010,RF,0.6660494704654965
1,0.0,1010,LR,1.0
1,0.0,1510,CPF,0.9812181056268972
1,0.0,1510,RF,0.6876477779162314
1,0.0,1510,LR,1.0
1,0.0,2010,CPF,0.990432425602445
1,0.0,2010,RF,0.6954895689343539
1,0.0,2010,LR,1.0
1,0.0,2510,CPF,0.9940305815102607
1,0.0,2510,RF,0.6991093582465231
1,0.0,2510,LR,1.0
1,0.0,3010,CPF,0.9964498957094713
1,0.0,3010,RF,0.7045409971636527
1,0.0,3010,LR,1.0
1,0.0,3510,CPF,0.9969473482419351
1,0.0,3510,RF,0.7183212660860301
1,0.0,3510,LR,1.0
1,0.0,4010,CPF,0.9967676999002325
1,0.0,4010,RF,0.722999591549736
1,0.0,4010,LR,1.0
1,0.0,4510,CPF,0.9976267793258968
1,0.0,4510,RF,0.7316255006967382
1,0.0,4510,LR,1.0
1,0.0,5010,CPF,0.9981981294553209
1,0.0,5010,RF,0.7437695665721218
1,0.0,5010,LR,1.0
1,0.0,5510,CPF,0.9986107924060605
1,0.0,5510,RF,0.7373430355857163
1,0.0,5510,LR,1.0
1,0.0,6010,CPF,0.9989979891722252
1,0.0,6010,RF,0.7387203998905334
1,0.0,6010,LR,1.0
1,0.0,6510,CPF,0.9989677556906481
1,0.0,6510,RF,0.7447558404567547
1,0.0,6510,LR,1.0
1,0.0,7010,CPF,0.9992820353103012
1,0.0,7010,RF,0.745577255745836
1,0.0,7010,LR,1.0
1,0.0,7510,CPF,0.9993556688438301
1,0.0,7510,RF,0.7476749248814658
1,0.0,7510,LR,1.0
1,0.0,8010,CPF,0.9993608672418967
1,0.0,8010,RF,0.7490743079642461
1,0.0,8010,LR,1.0
1,0.1,10,CPF,0.15096358721258263
1,0.1,10,RF,0.05474343379806823
1,0.1,10,LR,0.560199533967262
1,0.1,510,CPF,0.9047917736827512
1,0.1,510,RF,0.5941019830593577
1,0.1,510,LR,0.9974784818334326
1,0.1,1010,CPF,0.9657587730207439
1,0.1,1010,RF,0.647446411023383
1,0.1,1010,LR,0.9975392917439567
1,0.1,1510,CPF,0.9819463008466303
1,0.1,1510,RF,0.6748630308302428
1,0.1,1510,LR,0.9975540645527063
1,0.1,2010,CPF,0.9838275234185749
