id,name,n_samples,n_features,rows_removed,cols_removed,fold,model,r2,fit_duration,predict_duration,min_sample_leaf,min_sample_alpha,min_sample_fit,max_depth,max_model_depth,n_features_node,m_features_tree,alpha
10,Automobile,159,25,46,0,1,CPF 31,0.8222240686190594,0.028626680374145508,0.0001888275146484375,1.0,2.0,2.0,50.0,100.0,1,1.0,0.001
10,Automobile,159,25,46,0,1,CPF 32,0.7354649502904297,0.02719283103942871,0.00019216537475585938,1.0,2.0,2.0,50.0,100.0,1,1.0,0.01
10,Automobile,159,25,46,0,1,CPF 33,0.8367934492520396,0.028972387313842773,0.00017714500427246094,1.0,2.0,2.0,50.0,100.0,1,1.0,0.1
10,Automobile,159,25,46,0,1,CPF 34,0.8064444453118186,0.033164262771606445,0.0001742839813232422,1.0,2.0,2.0,50.0,100.0,1,1.0,1.0
10,Automobile,159,25,46,0,1,CPF 35,0.7635399861262926,0.007901668548583984,0.0003376007080078125,1.0,2.0,2.0,50.0,100.0,sqrt,1.0,0.0
10,Automobile,159,25,46,0,1,CPF 36,0.7682597453782949,0.007490396499633789,0.00016021728515625,1.0,2.0,2.0,50.0,100.0,sqrt,1.0,0.001
10,Automobile,159,25,46,0,1,CPF 37,0.7157241828514627,0.008035659790039062,0.00016164779663085938,1.0,2.0,2.0,50.0,100.0,sqrt,1.0,0.01
10,Automobile,159,25,46,0,1,CPF 38,0.7500652500235623,0.009118795394897461,0.0002090930938720703,1.0,2.0,2.0,50.0,100.0,sqrt,1.0,0.1
10,Automobile,159,25,46,0,1,CPF 39,0.5799416790592634,0.006906032562255859,0.00012230873107910156,1.0,2.0,2.0,50.0,100.0,sqrt,1.0,1.0
10,Automobile,159,25,46,0,1,CPF 40,0.7105402886767194,0.018242835998535156,0.00019502639770507812,1.0,2.0,2.0,50.0,100.0,0.7,1.0,0.0
10,Automobile,159,25,46,0,1,CPF 41,0.7706345400628856,0.018841266632080078,0.00015282630920410156,1.0,2.0,2.0,50.0,100.0,0.7,1.0,0.001
10,Automobile,159,25,46,0,1,CPF 42,0.6879272877623848,0.0187225341796875,0.0001773834228515625,1.0,2.0,2.0,50.0,100.0,0.7,1.0,0.01
10,Automobile,159,25,46,0,1,CPF 43,0.8533066319924183,0.01844048500061035,0.00023221969604492188,1.0,2.0,2.0,50.0,100.0,0.7,1.0,0.1
10,Automobile,159,25,46,0,1,CPF 44,0.8191777012010093,0.02182149887084961,0.00016069412231445312,1.0,2.0,2.0,50.0,100.0,0.7,1.0,1.0
10,Automobile,159,25,46,0,1,CPF 45,0.7911911815302348,0.04076433181762695,0.0002295970916748047,5.0,2.0,2.0,10.0,100.0,1,1.0,0.0
10,Automobile,159,25,46,0,1,CPF 46,0.7561309532384393,0.04619264602661133,0.0002639293670654297,5.0,2.0,2.0,10.0,100.0,1,1.0,0.001
10,Automobile,159,25,46,0,1,CPF 47,0.7722999624518198,0.0402829647064209,0.00021886825561523438,5.0,2.0,2.0,10.0,100.0,1,1.0,0.01
