id,name,n_samples,n_features,rows_removed,cols_removed,fold,model,r2,fit_duration,predict_duration,min_sample_leaf,min_sample_alpha,min_sample_fit,max_depth,max_model_depth,n_features_node,m_features_tree,df_settings
87,Servo,167,4,0,0,1,CPF 30,0.644729418714443,0.0023331642150878906,0.00019931793212890625,1.0,2.0,2.0,20.0,100.0,0.7,1,incl_blin
87,Servo,167,4,0,0,1,CPF 31,0.7179734579876462,0.001523733139038086,8.749961853027344e-05,1.0,2.0,2.0,20.0,100.0,0.7,1,excl_blin
87,Servo,167,4,0,0,1,CPF 32,0.40196227800617557,0.0009799003601074219,0.00010061264038085938,1.0,2.0,2.0,20.0,100.0,0.7,sqrt,incl_blin
87,Servo,167,4,0,0,1,CPF 33,0.5614485332280965,0.0009751319885253906,8.702278137207031e-05,1.0,2.0,2.0,20.0,100.0,0.7,sqrt,excl_blin
87,Servo,167,4,0,0,1,CPF 34,0.4712116584294982,0.0007879734039306641,6.771087646484375e-05,1.0,2.0,2.0,20.0,100.0,0.7,0.7,incl_blin
87,Servo,167,4,0,0,1,CPF 35,0.5132719519820899,0.0008289813995361328,6.29425048828125e-05,1.0,2.0,2.0,20.0,100.0,0.7,0.7,excl_blin
87,Servo,167,4,0,0,1,CPF 36,0.760720250497291,0.0019457340240478516,9.5367431640625e-05,1.0,2.0,2.0,50.0,100.0,1,1,incl_blin
87,Servo,167,4,0,0,1,CPF 37,0.5129519942304874,0.002377748489379883,0.00022554397583007812,1.0,2.0,2.0,50.0,100.0,1,1,excl_blin
87,Servo,167,4,0,0,1,CPF 38,0.23657582384881848,0.001737833023071289,0.000247955322265625,1.0,2.0,2.0,50.0,100.0,1,sqrt,incl_blin
87,Servo,167,4,0,0,1,CPF 39,0.414426334016738,0.0012843608856201172,8.392333984375e-05,1.0,2.0,2.0,50.0,100.0,1,sqrt,excl_blin
87,Servo,167,4,0,0,1,CPF 40,0.622003531047091,0.0010416507720947266,0.00010395050048828125,1.0,2.0,2.0,50.0,100.0,1,0.7,incl_blin
87,Servo,167,4,0,0,1,CPF 41,0.6951234756331992,0.0010716915130615234,8.654594421386719e-05,1.0,2.0,2.0,50.0,100.0,1,0.7,excl_blin
87,Servo,167,4,0,0,1,CPF 42,0.6238803527639247,0.0009226799011230469,7.939338684082031e-05,1.0,2.0,2.0,50.0,100.0,sqrt,1,incl_blin
87,Servo,167,4,0,0,1,CPF 43,0.4865919876164989,0.0010585784912109375,8.392333984375e-05,1.0,2.0,2.0,50.0,100.0,sqrt,1,excl_blin
87,Servo,167,4,0,0,1,CPF 44,0.5872426199404385,0.0007987022399902344,6.67572021484375e-05,1.0,2.0,2.0,50.0,100.0,sqrt,sqrt,incl_blin
