id,name,n_samples,n_features,fold,model,n_trees,r2
1,Abalone,4177,8,3,RF,11,0.5227864494505592
1,Abalone,4177,8,3,CPF,12,0.5457574140035899
1,Abalone,4177,8,3,RF,12,0.5310440129237994
1,Abalone,4177,8,3,CPF,13,0.5716969722053589
1,Abalone,4177,8,3,RF,13,0.5264967575431325
1,Abalone,4177,8,3,CPF,14,0.5562787697417563
1,Abalone,4177,8,3,RF,14,0.536304896417877
1,Abalone,4177,8,3,CPF,15,0.5703733978337231
1,Abalone,4177,8,3,RF,15,0.5269704163058778
1,Abalone,4177,8,3,CPF,16,0.5622727566588819
1,Abalone,4177,8,3,RF,16,0.5470730396040068
1,Abalone,4177,8,3,CPF,17,0.5624402414881688
1,Abalone,4177,8,3,RF,17,0.5418785573843543
1,Abalone,4177,8,3,CPF,18,0.5708351124836986
1,Abalone,4177,8,3,RF,18,0.5395432813798702
1,Abalone,4177,8,3,CPF,19,0.5779510521334094
1,Abalone,4177,8,3,RF,19,0.5484690433702236
1,Abalone,4177,8,4,CPF,1,0.4396389993878773
1,Abalone,4177,8,4,RF,1,0.08255538336077761
1,Abalone,4177,8,4,CPF,2,0.5018743718379696
1,Abalone,4177,8,4,RF,2,0.3437694577889371
1,Abalone,4177,8,4,CPF,3,0.5298482528735061
1,Abalone,4177,8,4,RF,3,0.4345086263048429
1,Abalone,4177,8,4,CPF,4,0.5235847274339334
1,Abalone,4177,8,4,RF,4,0.4624945506138145
1,Abalone,4177,8,4,CPF,5,0.5348515243300256
1,Abalone,4177,8,4,RF,5,0.4582568038833257
1,Abalone,4177,8,4,CPF,6,0.5524140272420092
1,Abalone,4177,8,4,RF,6,0.4698616217159015
1,Abalone,4177,8,4,CPF,7,0.5389555012398747
1,Abalone,4177,8,4,RF,7,0.49963896113905093
1,Abalone,4177,8,4,CPF,8,0.5287365946689048
1,Abalone,4177,8,4,RF,8,0.4628184892776811
1,Abalone,4177,8,4,CPF,9,0.5345874608447154
1,Abalone,4177,8,4,RF,9,0.5044641572809561
1,Abalone,4177,8,4,CPF,10,0.5302971103260832
1,Abalone,4177,8,4,RF,10,0.5214151566277432
1,Abalone,4177,8,4,CPF,11,0.5212518155020436
1,Abalone,4177,8,4,RF,11,0.5201513700892202
1,Abalone,4177,8,4,CPF,12,0.5436740959829371
1,Abalone,4177,8,4,RF,12,0.5148642851571771
1,Abalone,4177,8,4,CPF,13,0.5485744499861358
1,Abalone,4177,8,4,RF,13,0.5022747842708365
1,Abalone,4177,8,4,CPF,14,0.5516321619297944
1,Abalone,4177,8,4,RF,14,0.5191438299096234
1,Abalone,4177,8,4,CPF,15,0.5482678506662717
1,Abalone,4177,8,4,RF,15,0.5074081466477046
1,Abalone,4177,8,4,CPF,16,0.5456702527502999
1,Abalone,4177,8,4,RF,16,0.5296528539491583
1,Abalone,4177,8,4,CPF,17,0.5725292191221032
1,Abalone,4177,8,4,RF,17,0.5325421105247816
1,Abalone,4177,8,4,CPF,18,0.5477305662638119
1,Abalone,4177,8,4,RF,18,0.5173440486363214
1,Abalone,4177,8,4,CPF,19,0.5589917193267643
1,Abalone,4177,8,4,RF,19,0.542620595733398
1,Abalone,4177,8,5,CPF,1,0.435847702250061
1,Abalone,4177,8,5,RF,1,0.14359994203478055
1,Abalone,4177,8,5,CPF,2,0.3849520680950709
1,Abalone,4177,8,5,RF,2,0.24219448672938637
1,Abalone,4177,8,5,CPF,3,0.4504194168310298
1,Abalone,4177,8,5,RF,3,0.3533934476491548
1,Abalone,4177,8,5,CPF,4,0.4822751105816625
1,Abalone,4177,8,5,RF,4,0.39034889577598597
1,Abalone,4177,8,5,CPF,5,0.491074400350883
1,Abalone,4177,8,5,RF,5,0.4319273636760683
1,Abalone,4177,8,5,CPF,6,0.5242230831461204
1,Abalone,4177,8,5,RF,6,0.48895705635231645
1,Abalone,4177,8,5,CPF,7,0.5045065588531283
1,Abalone,4177,8,5,RF,7,0.452776840161934
1,Abalone,4177,8,5,CPF,8,0.5433638393817706
1,Abalone,4177,8,5,RF,8,0.5018345196342087
1,Abalone,4177,8,5,CPF,9,0.5188035055955833
1,Abalone,4177,8,5,RF,9,0.49405804112162865
1,Abalone,4177,8,5,CPF,10,0.5382282700765073
1,Abalone,4177,8,5,RF,10,0.476996554625175
1,Abalone,4177,8,5,CPF,11,0.5362725589526114
1,Abalone,4177,8,5,RF,11,0.5149070621707641
1,Abalone,4177,8,5,CPF,12,0.5385895013782502
1,Abalone,4177,8,5,RF,12,0.4939297708707776
1,Abalone,4177,8,5,CPF,13,0.5213839647305958
1,Abalone,4177,8,5,RF,13,0.5029028728745952
1,Abalone,4177,8,5,CPF,14,0.5376688411375521
1,Abalone,4177,8,5,RF,14,0.503698252989951
1,Abalone,4177,8,5,CPF,15,0.5402427812703001
1,Abalone,4177,8,5,RF,15,0.4925194378417319
1,Abalone,4177,8,5,CPF,16,0.5407204333672886
