id,name,n_samples,n_features,rows_removed,cols_removed,fold,model,r2,fit_duration,predict_duration,min_sample_leaf,min_sample_alpha,min_sample_fit,max_depth,max_model_depth,n_features_node,m_features_tree,alpha
492,Metro Interstate Traffic Volume,48204,7,0,0,1,RF,-0.05780962365999609,8.439313173294067,0.19941210746765137,,,,,,,,
492,Metro Interstate Traffic Volume,48204,7,0,0,1,XGB,0.11884330249184405,0.3551323413848877,0.008003950119018555,,,,,,,,
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 0,0.1007144861832624,3.7069461345672607,0.007335662841796875,1.0,2.0,2.0,10.0,100.0,1,1.0,0.0
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 1,0.10221985924582189,3.557025671005249,0.0068705081939697266,1.0,2.0,2.0,10.0,100.0,1,1.0,0.001
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 2,0.10151160459200947,3.3627681732177734,0.006564617156982422,1.0,2.0,2.0,10.0,100.0,1,1.0,0.01
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 3,0.10210083791153979,3.429966688156128,0.006329536437988281,1.0,2.0,2.0,10.0,100.0,1,1.0,0.1
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 4,0.07743668653916624,1.8607392311096191,0.002826213836669922,1.0,2.0,2.0,10.0,100.0,1,1.0,1.0
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 5,0.09775740180759818,0.9821274280548096,0.009423017501831055,1.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.0
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 6,0.0936281139494991,1.3369438648223877,0.00509190559387207,1.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.001
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 7,0.09726722604154014,1.1468350887298584,0.0077266693115234375,1.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.01
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 8,0.09275954560151123,0.9750308990478516,0.004518747329711914,1.0,2.0,2.0,10.0,100.0,sqrt,1.0,0.1
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 9,0.06549295588272508,0.5618748664855957,0.0026056766510009766,1.0,2.0,2.0,10.0,100.0,sqrt,1.0,1.0
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 10,0.1050766051708868,2.888563871383667,0.005952119827270508,1.0,2.0,2.0,10.0,100.0,0.7,1.0,0.0
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 11,0.10621074370001937,2.364962339401245,0.006659984588623047,1.0,2.0,2.0,10.0,100.0,0.7,1.0,0.001
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 12,0.10257223391940762,2.826930046081543,0.009885072708129883,1.0,2.0,2.0,10.0,100.0,0.7,1.0,0.01
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 13,0.10311151614777359,2.9592816829681396,0.011286735534667969,1.0,2.0,2.0,10.0,100.0,0.7,1.0,0.1
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 14,0.07867752009710027,1.6053988933563232,0.0033042430877685547,1.0,2.0,2.0,10.0,100.0,0.7,1.0,1.0
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 15,0.022710215299131753,8.625979661941528,0.03321957588195801,1.0,2.0,2.0,20.0,100.0,1,1.0,0.0
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 16,-0.0006815123262513545,6.379355430603027,0.029633760452270508,1.0,2.0,2.0,20.0,100.0,1,1.0,0.001
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 17,0.013089006834973826,7.368926048278809,0.03850507736206055,1.0,2.0,2.0,20.0,100.0,1,1.0,0.01
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 18,0.03955416396480749,7.663703918457031,0.033856868743896484,1.0,2.0,2.0,20.0,100.0,1,1.0,0.1
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 19,0.07796279561249331,2.5879650115966797,0.0044744014739990234,1.0,2.0,2.0,20.0,100.0,1,1.0,1.0
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 20,0.10076041965936855,2.156223773956299,0.01066732406616211,1.0,2.0,2.0,20.0,100.0,sqrt,1.0,0.0
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 21,0.10368913843837146,1.5424413681030273,0.006897449493408203,1.0,2.0,2.0,20.0,100.0,sqrt,1.0,0.001
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 22,0.10213204788152497,1.2397680282592773,0.0064051151275634766,1.0,2.0,2.0,20.0,100.0,sqrt,1.0,0.01
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 23,0.09621119511052212,1.0518670082092285,0.004563808441162109,1.0,2.0,2.0,20.0,100.0,sqrt,1.0,0.1
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 24,0.06556549784953503,0.5915670394897461,0.0024001598358154297,1.0,2.0,2.0,20.0,100.0,sqrt,1.0,1.0
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 25,0.0895351187609934,3.3221206665039062,0.022578001022338867,1.0,2.0,2.0,20.0,100.0,0.7,1.0,0.0
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 26,0.0886455198090077,4.422330379486084,0.016135454177856445,1.0,2.0,2.0,20.0,100.0,0.7,1.0,0.001
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 27,0.09385924483149022,3.149996757507324,0.01641368865966797,1.0,2.0,2.0,20.0,100.0,0.7,1.0,0.01
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 28,0.10531038653926594,2.7493724822998047,0.01203155517578125,1.0,2.0,2.0,20.0,100.0,0.7,1.0,0.1
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 29,0.07601485127331076,1.2193918228149414,0.004323720932006836,1.0,2.0,2.0,20.0,100.0,0.7,1.0,1.0
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 30,-0.08455050681112497,10.106639623641968,0.05559086799621582,1.0,2.0,2.0,50.0,100.0,1,1.0,0.0
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 31,-0.09136326244545434,11.019022226333618,0.058522939682006836,1.0,2.0,2.0,50.0,100.0,1,1.0,0.001
492,Metro Interstate Traffic Volume,48204,7,0,0,1,CPF 32,-0.09815604415019274,11.331829309463501,0.04054903984069824,1.0,2.0,2.0,50.0,100.0,1,1.0,0.01
