id,name,n_samples,n_features,rows_removed,cols_removed,fold,model,r2,fit_duration,predict_duration,min_sample_leaf,min_sample_alpha,min_sample_fit,max_depth,max_model_depth,n_features_node,m_features_tree,alpha
87,Servo,167,4,0,0,1,CPF 32,0.4915651062551291,0.0039865970611572,0.000157356262207,1.0,2.0,2.0,50.0,100.0,1,1.0,0.01
87,Servo,167,4,0,0,1,CPF 33,0.6108620261853692,0.0047786235809326,0.0003139972686767,1.0,2.0,2.0,50.0,100.0,1,1.0,0.1
87,Servo,167,4,0,0,1,CPF 34,0.6314892025449175,0.0024645328521728,0.0001156330108642,1.0,2.0,2.0,50.0,100.0,1,1.0,1.0
87,Servo,167,4,0,0,1,CPF 35,0.9264631023139928,0.0024549961090087,0.0001125335693359,1.0,2.0,2.0,50.0,100.0,sqrt,1.0,0.0
87,Servo,167,4,0,0,1,CPF 36,0.8344387045938222,0.0026385784149169,0.0001289844512939,1.0,2.0,2.0,50.0,100.0,sqrt,1.0,0.001
87,Servo,167,4,0,0,1,CPF 37,0.8308878316139916,0.0027132034301757,0.0001544952392578,1.0,2.0,2.0,50.0,100.0,sqrt,1.0,0.01
87,Servo,167,4,0,0,1,CPF 38,0.8155787207310093,0.0026400089263916,0.0001425743103027,1.0,2.0,2.0,50.0,100.0,sqrt,1.0,0.1
87,Servo,167,4,0,0,1,CPF 39,0.6115053601517084,0.0012018680572509,7.82012939453125e-05,1.0,2.0,2.0,50.0,100.0,sqrt,1.0,1.0
87,Servo,167,4,0,0,1,CPF 40,0.911528039897749,0.0027399063110351,0.0001192092895507,1.0,2.0,2.0,50.0,100.0,0.7,1.0,0.0
87,Servo,167,4,0,0,1,CPF 41,0.8891706195955184,0.002756118774414,0.0001180171966552,1.0,2.0,2.0,50.0,100.0,0.7,1.0,0.001
87,Servo,167,4,0,0,1,CPF 42,0.8795113094009793,0.0027456283569335,0.0001163482666015,1.0,2.0,2.0,50.0,100.0,0.7,1.0,0.01
87,Servo,167,4,0,0,1,CPF 43,0.9411644561848858,0.0038137435913085,0.0002307891845703,1.0,2.0,2.0,50.0,100.0,0.7,1.0,0.1
87,Servo,167,4,0,0,1,CPF 44,0.6801403632332117,0.0013036727905273,8.797645568847656e-05,1.0,2.0,2.0,50.0,100.0,0.7,1.0,1.0
87,Servo,167,4,0,0,1,CPF 45,0.6993779882207085,0.0030810832977294,0.0001120567321777,5.0,2.0,2.0,10.0,100.0,1,1.0,0.0
87,Servo,167,4,0,0,1,CPF 46,0.8366350177841899,0.003040075302124,0.0001325607299804,5.0,2.0,2.0,10.0,100.0,1,1.0,0.001
87,Servo,167,4,0,0,1,CPF 47,0.8947276265587771,0.0033431053161621,0.0001516342163085,5.0,2.0,2.0,10.0,100.0,1,1.0,0.01
87,Servo,167,4,0,0,1,CPF 48,0.7799549267892,0.0033707618713378,0.0001361370086669,5.0,2.0,2.0,10.0,100.0,1,1.0,0.1
87,Servo,167,4,0,0,1,CPF 49,0.8043925492501346,0.0019705295562744,9.1552734375e-05,5.0,2.0,2.0,10.0,100.0,1,1.0,1.0
