id,name,n_samples,n_features,fold,CPF R2,Lasso R2 alpha=0.01,Lasso n_trees alpha=0.01,Lasso R2 alpha=0.1,Lasso n_trees alpha=0.1,Lasso R2 alpha=1,Lasso n_trees alpha=1,Lasso R2 alpha=10,Lasso n_trees alpha=10
1,Abalone,4177,8,1,0.5554651184737991,0.4741472349791376,61,0.4949202731120914,33,0.5162400887774857,21,-0.000276149646651902,0
1,Abalone,4177,8,2,0.5310018883357016,0.4080968521634507,58,0.44173901457229225,35,0.48594931287414245,24,-0.007423356395585001,0
1,Abalone,4177,8,3,0.5663297593204313,0.5142514900462458,65,0.5413411005088513,32,0.5614697218562242,19,-0.00034576733678370886,0
1,Abalone,4177,8,4,0.561822437814167,0.4905009579600397,52,0.5271643920903124,31,0.5432151488391181,21,-0.004722478718579115,0
1,Abalone,4177,8,5,0.5567893680787608,0.49779364591528985,58,0.5227833853976551,37,0.5435552055203017,21,-1.8370506923881535e-05,0
9,Auto MPG,392,7,1,0.8739227212899702,0.872309422318593,52,0.8862569271988847,39,0.8953527209916983,22,0.8781279151727563,17
9,Auto MPG,392,7,2,0.8582211119448502,0.8125620382028458,52,0.8386904506416182,37,0.8456535439546491,28,0.8493904032602038,18
9,Auto MPG,392,7,3,0.8530361523868708,0.8411443239599027,57,0.8460703388157556,38,0.8513007613898367,29,0.8341312846638353,18
9,Auto MPG,392,7,4,0.9030345066703811,0.8661872473317751,57,0.8768714826623504,40,0.887030808012998,25,0.8438526793559358,16
9,Auto MPG,392,7,5,0.8937683866124888,0.8818489530469866,55,0.8947771355466885,37,0.8937244342854087,23,0.865965924820918,16
10,Automobile,159,25,1,0.822393637802887,0.8195155097917024,28,0.8179811533103487,16,0.3483236519253655,2,-0.09318618637237286,0
10,Automobile,159,25,2,0.43011758082097196,0.40303317347151113,32,0.3039172156219704,21,0.2674604336882719,4,-0.0121107578572901,0
10,Automobile,159,25,3,0.8640034965946656,0.8748519378711228,28,0.8461952570710097,24,0.4504143345234014,5,-0.117878196152432,0
10,Automobile,159,25,4,0.4959400413499666,0.44909479057768287,27,0.38468280814550304,22,0.12699349889691103,1,-0.04201340109997287,0
10,Automobile,159,25,5,0.7410776549105604,0.7212086388152361,29,0.7381081535457852,18,0.3923636295034548,4,-0.004882167478533539,0
60,Liver Disorders,345,5,1,0.10393237341410155,-0.11352511094604534,49,-0.06572988315390482,29,-0.019135802866741214,12,-0.00013596473919452734,0
60,Liver Disorders,345,5,2,0.06313749695545634,-0.26070637330056146,55,-0.2395603929510708,35,-0.1702833005014195,17,-0.029958681107578045,0
60,Liver Disorders,345,5,3,0.30057807267937275,-0.2779302037153466,51,0.03480944879012082,29,0.20218418085291456,14,-0.0110814062721174,0
60,Liver Disorders,345,5,4,-0.06578851331840241,-0.636578697941796,53,-0.33022440817119825,30,-0.12837033489247962,21,-0.02867140698087889,0
60,Liver Disorders,345,5,5,0.282203033431887,0.1941757804489258,52,0.2725109647954096,30,0.27272523184816155,14,-0.018581793706150762,0
87,Servo,167,4,1,0.6711429345424892,0.5258362691364775,14,0.5732355782996437,14,0.710786769487286,7,-0.019583407427398614,0
87,Servo,167,4,2,0.9134133861982612,0.9418728617173632,16,0.9384506819840532,12,0.7992655617933199,6,-0.04168688084730454,0
87,Servo,167,4,3,0.891267981713976,0.8515863998739179,15,0.8564104407055614,14,0.8027188121748101,4,-0.02279741773257693,0
87,Servo,167,4,4,0.903967439454193,0.9817109576381139,16,0.978013267838648,12,0.7492808949130365,4,-0.010559323141670518,0
87,Servo,167,4,5,0.8215943167625236,0.8870836956597756,17,0.8761749364026238,14,0.6832320534513352,5,-0.0030667484608046802,0
162,Forest Fires,517,12,1,0.0330163067823408,-0.1438753560161381,44,-0.14204943703435302,22,-0.01162997227071938,2,-0.0006198048100356512,0
162,Forest Fires,517,12,2,-0.011625015745591938,-0.2633358519055622,41,-0.1958346412873404,21,0.021838573052980648,5,-2.0929553343762564e-06,0
162,Forest Fires,517,12,3,-0.04792145930611058,-0.5047978162453173,46,-0.5436782999961323,23,-0.12416475929620963,2,-0.0019331956943433592,0
162,Forest Fires,517,12,4,-0.04536380324982803,-0.16919067503681906,45,-0.1629497838223446,25,0.007532316158156083,3,-0.0021005774016540357,0
162,Forest Fires,517,12,5,-0.04863513303935707,-0.28674147821156293,44,-0.21045958649470342,29,0.03693322093128559,4,-0.01855460196184522,0
165,Concrete Compressive Strength,1030,8,1,0.913433200872361,0.8884350246141652,69,0.8912826747530811,60,0.9025923002298031,46,0.9027494477801051,43
165,Concrete Compressive Strength,1030,8,2,0.8889466007901634,0.8979820114707533,62,0.895801571930603,53,0.8956426169951932,41,0.8922647511540073,41
165,Concrete Compressive Strength,1030,8,3,0.9100898510742955,0.9148030284821137,56,0.9159280132382386,60,0.9145422732242777,41,0.913969484519915,39
165,Concrete Compressive Strength,1030,8,4,0.9079306666785117,0.8974443704677059,61,0.9028556552839202,52,0.9090345042584336,38,0.9093643634780667,35
165,Concrete Compressive Strength,1030,8,5,0.9293856127904782,0.9316478539442095,63,0.9361032109942626,54,0.9351216146789284,33,0.9329890380032594,33
183,Communities and Crime,1993,100,1,0.6466542581626393,0.6190628764046953,44,-0.0026793104083384645,0,-0.0026793104083384645,0,-0.0026793104083384645,0
183,Communities and Crime,1993,100,2,0.6567074416770791,0.6466325466045124,44,-0.0007847594330543384,0,-0.0007847594330543384,0,-0.0007847594330543384,0
183,Communities and Crime,1993,100,3,0.6653865054028214,0.6581299398951805,44,-0.0008668835283962562,0,-0.0008668835283962562,0,-0.0008668835283962562,0
183,Communities and Crime,1993,100,4,0.6559327554294749,0.6495587785528621,41,-0.0007611576848338686,0,-0.0007611576848338686,0,-0.0007611576848338686,0
183,Communities and Crime,1993,100,5,0.7065193934613381,0.6827971480011754,36,-0.0006019209432102102,0,-0.0006019209432102102,0,-0.0006019209432102102,0
186,Wine Quality,6497,11,1,0.4880706691153046,0.48150901252594047,52,0.4892160369897113,32,-0.0005063320339124822,0,-0.0005063320339124822,0
186,Wine Quality,6497,11,2,0.5081165900435516,0.5067430872809632,49,0.4971315009956123,28,-0.00043293514360809304,0,-0.00043293514360809304,0
186,Wine Quality,6497,11,3,0.49880945998764237,0.4926716992366911,44,0.493292552990642,35,-0.001304884296224218,0,-0.001304884296224218,0
186,Wine Quality,6497,11,4,0.5197771363869017,0.5190653921645335,46,0.5099097795418597,33,-0.0002693214739324379,0,-0.0002693214739324379,0
186,Wine Quality,6497,11,5,0.5251919527569532,0.5254692652328881,53,0.5288515797284193,32,-0.00044327609787786493,0,-0.00044327609787786493,0
275,Bike Sharing,17379,12,1,0.940419333630554,0.9420623284833738,68,0.9420781296197995,68,0.942277094156045,65,0.9434559987025176,54
275,Bike Sharing,17379,12,2,0.940105345494745,0.9418599534620532,68,0.9418697947201543,70,0.9420053944236285,69,0.9424198101104855,65
275,Bike Sharing,17379,12,3,0.9372444744833903,0.9376284561379802,67,0.9376343628122639,67,0.9377229655284305,66,0.9390638631434172,58
275,Bike Sharing,17379,12,4,0.9430641690647169,0.9440649782862623,68,0.9440782514831858,69,0.9442321819503755,70,0.9449483556981614,62
275,Bike Sharing,17379,12,5,0.9404406300984276,0.941214463428311,70,0.9412036007484313,70,0.9411126960227197,66,0.942211449971833,66
291,Airfoil Self-Noise,1503,5,1,0.9023505975505961,0.928620243109056,57,0.9312029397506136,38,0.926472747306093,29,0.8730065637787777,17
291,Airfoil Self-Noise,1503,5,2,0.9230078160238148,0.9441428211475216,54,0.9425864989193757,33,0.9408588463583795,18,0.9070820641814431,10
291,Airfoil Self-Noise,1503,5,3,0.909177377219236,0.9284929963165514,55,0.9324556833811101,30,0.9344867677122584,17,0.894043530272613,11
291,Airfoil Self-Noise,1503,5,4,0.8975994964436375,0.9230096928651286,51,0.9230294112310783,37,0.9174236315464727,23,0.8647436905118817,12
291,Airfoil Self-Noise,1503,5,5,0.8867827873265348,0.9145341575527918,57,0.9124310486366829,35,0.9062331734102888,23,0.851138013654263,13
