id,name,n_samples,n_features,fold,model,r2_forest,tree_match_score,best_tree_r2
1,Abalone,4177,8,1,CPF,0.5554651184737991,0.8156028770562619,0.4809729343828722
1,Abalone,4177,8,1,RF,0.5378109827197706,0.515927839846708,0.2510601470109292
1,Abalone,4177,8,2,CPF,0.5311211345762185,0.8214876787151862,0.457506768610873
1,Abalone,4177,8,2,RF,0.4973329014177329,0.3993941332689845,0.0294278070512397
1,Abalone,4177,8,3,CPF,0.5659310135714859,0.8747934722088963,0.4938316445837137
1,Abalone,4177,8,3,RF,0.5544985688627582,0.4905025020059286,0.2578595756674156
1,Abalone,4177,8,4,CPF,0.5661768248131711,0.8181428104952071,0.4375014631427265
1,Abalone,4177,8,4,RF,0.5434556548070109,0.4348703457022557,0.1930416538940357
1,Abalone,4177,8,5,CPF,0.5566376825355148,0.7809892598559073,0.4326412155861727
1,Abalone,4177,8,5,RF,0.532347845413442,0.3680792320432231,0.1237786222140299
9,Auto MPG,392,7,1,CPF,0.8761413199449285,0.9499080817391244,0.866186402185398
9,Auto MPG,392,7,1,RF,0.8803085207180615,0.9122287145059232,0.8199199181978718
9,Auto MPG,392,7,2,CPF,0.8652625593731457,0.9468817571921476,0.8120319506420459
9,Auto MPG,392,7,2,RF,0.85953965993125,0.9501146754417272,0.8578370966090203
9,Auto MPG,392,7,3,CPF,0.8520481015666198,0.9635890293602872,0.8515050678217664
9,Auto MPG,392,7,3,RF,0.8335993220118391,0.9505153581931772,0.8064134033176942
9,Auto MPG,392,7,4,CPF,0.9027604944258792,0.9487934319185984,0.8510262650128597
9,Auto MPG,392,7,4,RF,0.903565989078562,0.9365284491903688,0.8286175836445455
9,Auto MPG,392,7,5,CPF,0.8919725595767813,0.9375896246002252,0.8496029191337422
9,Auto MPG,392,7,5,RF,0.8895809706294932,0.9008890934628996,0.8157282711914255
10,Automobile,159,25,1,CPF,0.8308553226489487,0.956754378764544,0.8095517187063295
10,Automobile,159,25,1,RF,0.7686035928143713,0.9007242785466998,0.7019294743845642
10,Automobile,159,25,2,CPF,0.5053666367188365,0.9009694762354418,0.3318916311825026
10,Automobile,159,25,2,RF,0.5320347375243033,0.8837946388471853,0.357096565132858
10,Automobile,159,25,3,CPF,0.8373928053704082,0.8855870054118469,0.9083183792156266
10,Automobile,159,25,3,RF,0.914537293729373,0.9103922324862026,0.9207920792079208
10,Automobile,159,25,4,CPF,0.422444728453866,0.8315124313553723,0.3850059541877613
10,Automobile,159,25,4,RF,0.6076905923344947,0.7841895059288155,0.2752613240418118
10,Automobile,159,25,5,CPF,0.7620027012554951,0.9230597777192298,0.8592531858167711
10,Automobile,159,25,5,RF,0.831766644649934,0.9098076145901918,0.8157199471598415
60,Liver Disorders,345,5,1,CPF,0.1125530306133125,0.7287911273297023,0.047446799605625
60,Liver Disorders,345,5,1,RF,0.1475800888142641,0.11682502672262,-0.1824603636578894
60,Liver Disorders,345,5,2,CPF,0.0704680688456208,0.636184788835628,-0.0247065308503116
60,Liver Disorders,345,5,2,RF,-0.0558406723935909,-1.0260620567351255,-0.6751788553259139
60,Liver Disorders,345,5,3,CPF,0.2887665253963246,0.5770375574181201,0.1970298301296509
60,Liver Disorders,345,5,3,RF,0.224347797552407,-0.552904536883051,-0.4419951356985676
60,Liver Disorders,345,5,4,CPF,-0.0266510305740816,0.6687910858986716,-0.0868128836293575
60,Liver Disorders,345,5,4,RF,-0.1538291289561504,-0.0524494927547052,-1.1238682058155756
60,Liver Disorders,345,5,5,CPF,0.2793279067398503,0.7724872307903229,0.2416430431202987
60,Liver Disorders,345,5,5,RF,0.2583976635848555,-0.2729050121581844,-0.1211494405694533
87,Servo,167,4,1,CPF,0.7006353233771926,0.9808101075571202,0.6823219173856123
87,Servo,167,4,1,RF,0.8695316216239242,0.9824039391678332,0.8279431229489502
87,Servo,167,4,2,CPF,0.9077596679813532,0.9752187475275894,0.8583621587957784
87,Servo,167,4,2,RF,0.9457540901324254,0.97660712257717,0.901559050660366
87,Servo,167,4,3,CPF,0.8885522369692306,0.9735664662660092,0.7951060948487375
87,Servo,167,4,3,RF,0.8685863087549077,0.9855059523051324,0.8112730210294271
87,Servo,167,4,4,CPF,0.9092461103526828,0.9713841706566024,0.8935194357505464
87,Servo,167,4,4,RF,0.9132560261999658,0.9492434545676351,0.9533025512504196
87,Servo,167,4,5,CPF,0.8248800626602198,0.9706793714116888,0.8059554275397923
87,Servo,167,4,5,RF,0.8645577084764943,0.9818068913281432,0.8168396485004932
162,Forest Fires,517,12,1,CPF,0.04354214858388783,0.3471533156041924,-0.0167153021954336
162,Forest Fires,517,12,1,RF,-0.053853321198821025,-3.8632012447345083,-0.5855627255708602
162,Forest Fires,517,12,2,CPF,-0.025478557086370257,0.05915032531412856,-0.02709103934262136
162,Forest Fires,517,12,2,RF,-0.0780099980658886,-2.240128306260742,-0.41401671085836345
162,Forest Fires,517,12,3,CPF,-0.06038629494279646,0.043763505067602515,-0.003199769780681594
162,Forest Fires,517,12,3,RF,-0.18699007258121902,-2.6915724461326076,-0.9173062622512891
162,Forest Fires,517,12,4,CPF,-0.03288159434045146,0.08741009794509058,-0.013408655192022945
162,Forest Fires,517,12,4,RF,-0.07998326090447438,-3.3394283086223115,-0.6660837674910292
162,Forest Fires,517,12,5,CPF,-0.06170802940031117,-0.021095961832580112,-0.021196086523078694
162,Forest Fires,517,12,5,RF,-0.19716431704991266,-1.6499291844404351,-1.1262345067080535
165,Concrete Compressive Strength,1030,8,1,CPF,0.9139647295558953,0.9213122329336135,0.8538074296584216
